sector code,sector name,sector_disbursment
14010,Water sector policy and administrative management,622140733
14015,Water resources conservation (including data collection),32573913
14020,Water supply and sanitation - large systems,421158670
14021,Water supply - large systems,622871307
14022,Sanitation - large systems,73858688
14030,Basic drinking water supply and basic sanitation,30639181
14031,Basic drinking water supply,20630726
14032,Basic sanitation,8434360
14040,River basins development,686196
14050,Waste management/disposal,195071
